03/04/2015 13:04:39:021  INFO - 6298328E2EEE82F51BE5170BFCFDA89D:/RCOM_CF_Intl_Roaming_Serv_IVR : SCESession bound to HttpSession 6298328E2EEE82F51BE5170BFCFDA89D
03/04/2015 13:04:39:022  INFO - 6298328E2EEE82F51BE5170BFCFDA89D:/RCOM_CF_Intl_Roaming_Serv_IVR : Browser Version 2.1.4, terminationURL enabled : true
03/04/2015 13:04:40:032  WARN - 6298328E2EEE82F51BE5170BFCFDA89D:/RCOM_CF_Intl_Roaming_Serv_IVR : Problem simulating platform values (Connection refused: connect)
03/04/2015 13:04:40:032  INFO - 6298328E2EEE82F51BE5170BFCFDA89D:/RCOM_CF_Intl_Roaming_Serv_IVR : Using SCESession 6298328E2EEE82F51BE5170BFCFDA89D:/RCOM_CF_Intl_Roaming_Serv_IVR servlet : Start
03/04/2015 13:04:40:034  INFO - 6298328E2EEE82F51BE5170BFCFDA89D:/RCOM_CF_Intl_Roaming_Serv_IVR : ** Pushed Stack Frame [/RCOM_CF_Intl_Roaming_Serv_IVR]
03/04/2015 13:04:40:035  INFO - 6298328E2EEE82F51BE5170BFCFDA89D:/RCOM_CF_Intl_Roaming_Serv_IVR : Storing :session___sessionid to complex: session:sessionid  as [mpp-2015093072756-8]
03/04/2015 13:04:40:036  INFO - 6298328E2EEE82F51BE5170BFCFDA89D:/RCOM_CF_Intl_Roaming_Serv_IVR : runtime_platform : Desktop
03/04/2015 13:04:40:036  INFO - 6298328E2EEE82F51BE5170BFCFDA89D:/RCOM_CF_Intl_Roaming_Serv_IVR : runtime_asr : Desktop Microsoft Speech SAPI
03/04/2015 13:04:40:037  INFO - 6298328E2EEE82F51BE5170BFCFDA89D:/RCOM_CF_Intl_Roaming_Serv_IVR : MessageType is speech
03/04/2015 13:04:40:178  INFO - 6298328E2EEE82F51BE5170BFCFDA89D:/RCOM_CF_Intl_Roaming_Serv_IVR : Using SCESession 6298328E2EEE82F51BE5170BFCFDA89D:/RCOM_CF_Intl_Roaming_Serv_IVR servlet : InitializeVariables
03/04/2015 13:04:40:178  INFO - 6298328E2EEE82F51BE5170BFCFDA89D:/RCOM_CF_Intl_Roaming_Serv_IVR : Storing :session___videofps to complex: session:videofps  as [unknown]
03/04/2015 13:04:40:178  INFO - 6298328E2EEE82F51BE5170BFCFDA89D:/RCOM_CF_Intl_Roaming_Serv_IVR : Storing :session___vprdnis to complex: session:vprdnis  as [unknown]
03/04/2015 13:04:40:178  INFO - 6298328E2EEE82F51BE5170BFCFDA89D:/RCOM_CF_Intl_Roaming_Serv_IVR : Storing :session___videobitrate to complex: session:videobitrate  as [unknown]
03/04/2015 13:04:40:178  INFO - 6298328E2EEE82F51BE5170BFCFDA89D:/RCOM_CF_Intl_Roaming_Serv_IVR : Storing :session___videonearfmtp to complex: session:videonearfmtp  as [unknown]
03/04/2015 13:04:40:178  INFO - 6298328E2EEE82F51BE5170BFCFDA89D:/RCOM_CF_Intl_Roaming_Serv_IVR : Storing :session___uui to complex: session:uui  as [unknown]
03/04/2015 13:04:40:178  INFO - 6298328E2EEE82F51BE5170BFCFDA89D:/RCOM_CF_Intl_Roaming_Serv_IVR : Storing :session___conversesecond to complex: session:conversesecond  as [unknown]
03/04/2015 13:04:40:178  INFO - 6298328E2EEE82F51BE5170BFCFDA89D:/RCOM_CF_Intl_Roaming_Serv_IVR : Storing :session___ucid to complex: session:ucid  as [undefined]
03/04/2015 13:04:40:178  INFO - 6298328E2EEE82F51BE5170BFCFDA89D:/RCOM_CF_Intl_Roaming_Serv_IVR : Storing :session___vpcalledextension to complex: session:vpcalledextension  as [unknown]
