01/07/2015 11:47:46:116  INFO - In Progress | session id:mpp-2015182060954-4 | DM:ReportEnd | Welcome_PP | Return Code | Output_Parameters:returncode |  | 10000012731435730994
01/07/2015 11:47:46:118  INFO - End | session id:mpp-2015182060954-4 | DM:ReportEnd | Welcome_PP |  |  |  | 10000012731435730994
01/07/2015 11:47:56:052  INFO - In Progress | session id:mpp-2015182060954-4 | DM:ReportEnd | SelectLang_MN | Return Code | Output_Parameters:returncode | SUCCESS | 10000012731435730994
01/07/2015 11:47:56:052  INFO - In Progress | session id:mpp-2015182060954-4 | DM:ReportEnd | SelectLang_MN | Input Type | Output_Parameters:inputType | dtmf | 10000012731435730994
01/07/2015 11:47:56:052  INFO - In Progress | session id:mpp-2015182060954-4 | DM:ReportEnd | SelectLang_MN | Value | Output_Parameters:value | ENG | 10000012731435730994
01/07/2015 11:47:56:052  INFO - End | session id:mpp-2015182060954-4 | DM:ReportEnd | SelectLang_MN |  |  |  | 10000012731435730994
01/07/2015 11:48:02:152  INFO - In Progress | session id:mpp-2015182060954-4 | DM:ReportEnd | OldProspect_MN | Return Code | Output_Parameters:returncode | SUCCESS | 10000012731435730994
01/07/2015 11:48:02:152  INFO - In Progress | session id:mpp-2015182060954-4 | DM:ReportEnd | OldProspect_MN | Input Type | Output_Parameters:inputType | dtmf | 10000012731435730994
01/07/2015 11:48:02:152  INFO - In Progress | session id:mpp-2015182060954-4 | DM:ReportEnd | OldProspect_MN | Value | Output_Parameters:value | RelianceCustomer | 10000012731435730994
01/07/2015 11:48:02:152  INFO - End | session id:mpp-2015182060954-4 | DM:ReportEnd | OldProspect_MN |  |  |  | 10000012731435730994
01/07/2015 11:48:20:860  INFO - In Progress | session id:mpp-2015182060954-4 | DM:ReportEnd | CollectMobileNumber | Return Code | Output_Parameters:returncode | SUCCESS | 10000012731435730994
01/07/2015 11:48:20:860  INFO - In Progress | session id:mpp-2015182060954-4 | DM:ReportEnd | CollectMobileNumber | Input Type | Output_Parameters:inputType | dtmf | 10000012731435730994
01/07/2015 11:48:20:860  INFO - In Progress | session id:mpp-2015182060954-4 | DM:ReportEnd | CollectMobileNumber | Value | Output_Parameters:value | 1234567890 | 10000012731435730994
01/07/2015 11:48:20:860  INFO - End | session id:mpp-2015182060954-4 | DM:ReportEnd | CollectMobileNumber |  |  |  | 10000012731435730994
01/07/2015 11:48:23:253  INFO - In Progress | session id:mpp-2015182060954-4 | DM:ReportEnd | ConfirmNumber | Return Code | Output_Parameters:returncode | SUCCESS | 10000012731435730994
01/07/2015 11:48:23:253  INFO - In Progress | session id:mpp-2015182060954-4 | DM:ReportEnd | ConfirmNumber | Input Type | Output_Parameters:inputType | dtmf | 10000012731435730994
01/07/2015 11:48:23:253  INFO - In Progress | session id:mpp-2015182060954-4 | DM:ReportEnd | ConfirmNumber | Value | Output_Parameters:value | Confirm | 10000012731435730994
01/07/2015 11:48:23:253  INFO - End | session id:mpp-2015182060954-4 | DM:ReportEnd | ConfirmNumber |  |  |  | 10000012731435730994
01/07/2015 11:48:25:310  INFO - In Progress | session id:mpp-2015182060954-4 | DM:ReportEnd | Prepaid_MN | Return Code | Output_Parameters:returncode | SUCCESS | 10000012731435730994
01/07/2015 11:48:25:310  INFO - In Progress | session id:mpp-2015182060954-4 | DM:ReportEnd | Prepaid_MN | Input Type | Output_Parameters:inputType | dtmf | 10000012731435730994
01/07/2015 11:48:25:310  INFO - In Progress | session id:mpp-2015182060954-4 | DM:ReportEnd | Prepaid_MN | Value | Output_Parameters:value | HOTDEAL | 10000012731435730994
01/07/2015 11:48:25:310  INFO - End | session id:mpp-2015182060954-4 | DM:ReportEnd | Prepaid_MN |  |  |  | 10000012731435730994
01/07/2015 11:48:33:770  INFO - In Progress | session id:mpp-2015182060954-4 | DM:ReportEnd | OfferMsg_PP | Return Code | Output_Parameters:returncode |  | 10000012731435730994
01/07/2015 11:48:33:770  INFO - End | session id:mpp-2015182060954-4 | DM:ReportEnd | OfferMsg_PP |  |  |  | 10000012731435730994
01/07/2015 11:48:44:529  INFO - In Progress | session id:mpp-2015182060954-4 | DM:ReportEnd | Subscribe_MN | Return Code | Output_Parameters:returncode | SUCCESS | 10000012731435730994
01/07/2015 11:48:44:529  INFO - In Progress | session id:mpp-2015182060954-4 | DM:ReportEnd | Subscribe_MN | Input Type | Output_Parameters:inputType | dtmf | 10000012731435730994
01/07/2015 11:48:44:529  INFO - In Progress | session id:mpp-2015182060954-4 | DM:ReportEnd | Subscribe_MN | Value | Output_Parameters:value | Confirm | 10000012731435730994
01/07/2015 11:48:44:529  INFO - End | session id:mpp-2015182060954-4 | DM:ReportEnd | Subscribe_MN |  |  |  | 10000012731435730994
01/07/2015 11:48:44:743  INFO - In Progress | session id:mpp-2015182060954-4 | DM:ReportEnd | TransferAgent_PP | Return Code | Output_Parameters:returncode |  | 10000012731435730994
01/07/2015 11:48:44:748  INFO - End | session id:mpp-2015182060954-4 | DM:ReportEnd | TransferAgent_PP |  |  |  | 10000012731435730994
01/07/2015 11:49:37:608  INFO - In Progress | session id:mpp-2015182061146-5 | DM:ReportEnd | Welcome_PP | Return Code | Output_Parameters:returncode |  | 10000012741435731106
01/07/2015 11:49:37:608  INFO - End | session id:mpp-2015182061146-5 | DM:ReportEnd | Welcome_PP |  |  |  | 10000012741435731106
01/07/2015 11:49:41:348  INFO - In Progress | session id:mpp-2015182061146-5 | DM:ReportEnd | SelectLang_MN | Return Code | Output_Parameters:returncode | SUCCESS | 10000012741435731106
01/07/2015 11:49:41:348  INFO - In Progress | session id:mpp-2015182061146-5 | DM:ReportEnd | SelectLang_MN | Input Type | Output_Parameters:inputType | dtmf | 10000012741435731106
01/07/2015 11:49:41:348  INFO - In Progress | session id:mpp-2015182061146-5 | DM:ReportEnd | SelectLang_MN | Value | Output_Parameters:value | HIN | 10000012741435731106
01/07/2015 11:49:41:348  INFO - End | session id:mpp-2015182061146-5 | DM:ReportEnd | SelectLang_MN |  |  |  | 10000012741435731106
01/07/2015 11:49:43:166  INFO - In Progress | session id:mpp-2015182061146-5 | DM:ReportEnd | OldProspect_MN | Return Code | Output_Parameters:returncode | SUCCESS | 10000012741435731106
01/07/2015 11:49:43:166  INFO - In Progress | session id:mpp-2015182061146-5 | DM:ReportEnd | OldProspect_MN | Input Type | Output_Parameters:inputType | dtmf | 10000012741435731106
01/07/2015 11:49:43:166  INFO - In Progress | session id:mpp-2015182061146-5 | DM:ReportEnd | OldProspect_MN | Value | Output_Parameters:value | RelianceCustomer | 10000012741435731106
01/07/2015 11:49:43:166  INFO - End | session id:mpp-2015182061146-5 | DM:ReportEnd | OldProspect_MN |  |  |  | 10000012741435731106
01/07/2015 11:49:49:950  INFO - In Progress | session id:mpp-2015182061146-5 | DM:ReportEnd | CollectMobileNumber | Return Code | Output_Parameters:returncode | SUCCESS | 10000012741435731106
01/07/2015 11:49:49:950  INFO - In Progress | session id:mpp-2015182061146-5 | DM:ReportEnd | CollectMobileNumber | Input Type | Output_Parameters:inputType | dtmf | 10000012741435731106
01/07/2015 11:49:49:950  INFO - In Progress | session id:mpp-2015182061146-5 | DM:ReportEnd | CollectMobileNumber | Value | Output_Parameters:value | 1234567890 | 10000012741435731106
01/07/2015 11:49:49:950  INFO - End | session id:mpp-2015182061146-5 | DM:ReportEnd | CollectMobileNumber |  |  |  | 10000012741435731106
01/07/2015 11:49:51:327  INFO - In Progress | session id:mpp-2015182061146-5 | DM:ReportEnd | ConfirmNumber | Return Code | Output_Parameters:returncode | SUCCESS | 10000012741435731106
01/07/2015 11:49:51:328  INFO - In Progress | session id:mpp-2015182061146-5 | DM:ReportEnd | ConfirmNumber | Input Type | Output_Parameters:inputType | dtmf | 10000012741435731106
01/07/2015 11:49:51:328  INFO - In Progress | session id:mpp-2015182061146-5 | DM:ReportEnd | ConfirmNumber | Value | Output_Parameters:value | Confirm | 10000012741435731106
01/07/2015 11:49:51:328  INFO - End | session id:mpp-2015182061146-5 | DM:ReportEnd | ConfirmNumber |  |  |  | 10000012741435731106
01/07/2015 11:49:57:519  INFO - In Progress | session id:mpp-2015182061146-5 | DM:ReportEnd | Prepaid_MN | Return Code | Output_Parameters:returncode | NOMATCH | 10000012741435731106
01/07/2015 11:49:57:519  INFO - End | session id:mpp-2015182061146-5 | DM:ReportEnd | Prepaid_MN |  |  |  | 10000012741435731106
01/07/2015 11:49:57:677  INFO - In Progress | session id:mpp-2015182061146-5 | DM:ReportEnd | TransferAgent_PP | Return Code | Output_Parameters:returncode |  | 10000012741435731106
01/07/2015 11:49:57:678  INFO - End | session id:mpp-2015182061146-5 | DM:ReportEnd | TransferAgent_PP |  |  |  | 10000012741435731106
01/07/2015 11:51:01:541  INFO - In Progress | session id:mpp-2015182061310-3 | DM:ReportEnd | Welcome_PP | Return Code | Output_Parameters:returncode |  | 10000012751435731190
01/07/2015 11:51:01:541  INFO - End | session id:mpp-2015182061310-3 | DM:ReportEnd | Welcome_PP |  |  |  | 10000012751435731190
01/07/2015 11:51:03:128  INFO - In Progress | session id:mpp-2015182061310-3 | DM:ReportEnd | SelectLang_MN | Return Code | Output_Parameters:returncode | SUCCESS | 10000012751435731190
01/07/2015 11:51:03:128  INFO - In Progress | session id:mpp-2015182061310-3 | DM:ReportEnd | SelectLang_MN | Input Type | Output_Parameters:inputType | dtmf | 10000012751435731190
01/07/2015 11:51:03:128  INFO - In Progress | session id:mpp-2015182061310-3 | DM:ReportEnd | SelectLang_MN | Value | Output_Parameters:value | ENG | 10000012751435731190
01/07/2015 11:51:03:128  INFO - End | session id:mpp-2015182061310-3 | DM:ReportEnd | SelectLang_MN |  |  |  | 10000012751435731190
01/07/2015 11:51:04:111  INFO - In Progress | session id:mpp-2015182061310-3 | DM:ReportEnd | OldProspect_MN | Return Code | Output_Parameters:returncode | SUCCESS | 10000012751435731190
01/07/2015 11:51:04:111  INFO - In Progress | session id:mpp-2015182061310-3 | DM:ReportEnd | OldProspect_MN | Input Type | Output_Parameters:inputType | dtmf | 10000012751435731190
01/07/2015 11:51:04:111  INFO - In Progress | session id:mpp-2015182061310-3 | DM:ReportEnd | OldProspect_MN | Value | Output_Parameters:value | RelianceCustomer | 10000012751435731190
01/07/2015 11:51:04:111  INFO - End | session id:mpp-2015182061310-3 | DM:ReportEnd | OldProspect_MN |  |  |  | 10000012751435731190
01/07/2015 11:51:10:175  INFO - In Progress | session id:mpp-2015182061310-3 | DM:ReportEnd | CollectMobileNumber | Return Code | Output_Parameters:returncode | SUCCESS | 10000012751435731190
01/07/2015 11:51:10:175  INFO - In Progress | session id:mpp-2015182061310-3 | DM:ReportEnd | CollectMobileNumber | Input Type | Output_Parameters:inputType | dtmf | 10000012751435731190
01/07/2015 11:51:10:175  INFO - In Progress | session id:mpp-2015182061310-3 | DM:ReportEnd | CollectMobileNumber | Value | Output_Parameters:value | 1234567890 | 10000012751435731190
01/07/2015 11:51:10:175  INFO - End | session id:mpp-2015182061310-3 | DM:ReportEnd | CollectMobileNumber |  |  |  | 10000012751435731190
01/07/2015 11:51:21:913  INFO - In Progress | session id:mpp-2015182061310-3 | DM:ReportEnd | ConfirmNumber | Return Code | Output_Parameters:returncode | SUCCESS | 10000012751435731190
01/07/2015 11:51:21:913  INFO - In Progress | session id:mpp-2015182061310-3 | DM:ReportEnd | ConfirmNumber | Input Type | Output_Parameters:inputType | dtmf | 10000012751435731190
01/07/2015 11:51:21:914  INFO - In Progress | session id:mpp-2015182061310-3 | DM:ReportEnd | ConfirmNumber | Value | Output_Parameters:value | Confirm | 10000012751435731190
01/07/2015 11:51:21:914  INFO - End | session id:mpp-2015182061310-3 | DM:ReportEnd | ConfirmNumber |  |  |  | 10000012751435731190
01/07/2015 11:51:23:317  INFO - In Progress | session id:mpp-2015182061310-3 | DM:ReportEnd | Prepaid_MN | Return Code | Output_Parameters:returncode | SUCCESS | 10000012751435731190
01/07/2015 11:51:23:317  INFO - In Progress | session id:mpp-2015182061310-3 | DM:ReportEnd | Prepaid_MN | Input Type | Output_Parameters:inputType | dtmf | 10000012751435731190
01/07/2015 11:51:23:317  INFO - In Progress | session id:mpp-2015182061310-3 | DM:ReportEnd | Prepaid_MN | Value | Output_Parameters:value | HOTDEAL | 10000012751435731190
01/07/2015 11:51:23:317  INFO - End | session id:mpp-2015182061310-3 | DM:ReportEnd | Prepaid_MN |  |  |  | 10000012751435731190
01/07/2015 11:51:45:210  INFO - In Progress | session id:mpp-2015182061310-3 | DM:ReportEnd | OfferMsg_PP | Return Code | Output_Parameters:returncode |  | 10000012751435731190
01/07/2015 11:51:45:211  INFO - End | session id:mpp-2015182061310-3 | DM:ReportEnd | OfferMsg_PP |  |  |  | 10000012751435731190
01/07/2015 11:51:50:179  INFO - In Progress | session id:mpp-2015182061310-3 | DM:ReportEnd | Subscribe_MN | Return Code | Output_Parameters:returncode | NOMATCH | 10000012751435731190
01/07/2015 11:51:50:183  INFO - End | session id:mpp-2015182061310-3 | DM:ReportEnd | Subscribe_MN |  |  |  | 10000012751435731190
01/07/2015 11:51:51:824  INFO - In Progress | session id:mpp-2015182061310-3 | DM:ReportEnd | TransferAgent_PP | Return Code | Output_Parameters:returncode |  | 10000012751435731190
01/07/2015 11:51:51:824  INFO - End | session id:mpp-2015182061310-3 | DM:ReportEnd | TransferAgent_PP |  |  |  | 10000012751435731190
01/07/2015 11:52:20:254  INFO - In Progress | session id:mpp-2015182061428-10 | DM:ReportEnd | Welcome_PP | Return Code | Output_Parameters:returncode |  | 10000012781435731268
01/07/2015 11:52:20:254  INFO - End | session id:mpp-2015182061428-10 | DM:ReportEnd | Welcome_PP |  |  |  | 10000012781435731268
01/07/2015 11:52:26:827  INFO - In Progress | session id:mpp-2015182061428-10 | DM:ReportEnd | SelectLang_MN | Return Code | Output_Parameters:returncode | SUCCESS | 10000012781435731268
01/07/2015 11:52:26:828  INFO - In Progress | session id:mpp-2015182061428-10 | DM:ReportEnd | SelectLang_MN | Input Type | Output_Parameters:inputType | dtmf | 10000012781435731268
01/07/2015 11:52:26:828  INFO - In Progress | session id:mpp-2015182061428-10 | DM:ReportEnd | SelectLang_MN | Value | Output_Parameters:value | ENG | 10000012781435731268
01/07/2015 11:52:26:828  INFO - End | session id:mpp-2015182061428-10 | DM:ReportEnd | SelectLang_MN |  |  |  | 10000012781435731268
01/07/2015 11:52:27:950  INFO - In Progress | session id:mpp-2015182061428-10 | DM:ReportEnd | OldProspect_MN | Return Code | Output_Parameters:returncode | SUCCESS | 10000012781435731268
01/07/2015 11:52:27:950  INFO - In Progress | session id:mpp-2015182061428-10 | DM:ReportEnd | OldProspect_MN | Input Type | Output_Parameters:inputType | dtmf | 10000012781435731268
01/07/2015 11:52:27:950  INFO - In Progress | session id:mpp-2015182061428-10 | DM:ReportEnd | OldProspect_MN | Value | Output_Parameters:value | RelianceCustomer | 10000012781435731268
01/07/2015 11:52:27:950  INFO - End | session id:mpp-2015182061428-10 | DM:ReportEnd | OldProspect_MN |  |  |  | 10000012781435731268
01/07/2015 11:52:38:713  INFO - In Progress | session id:mpp-2015182061428-10 | DM:ReportEnd | CollectMobileNumber | Return Code | Output_Parameters:returncode | SUCCESS | 10000012781435731268
01/07/2015 11:52:38:713  INFO - In Progress | session id:mpp-2015182061428-10 | DM:ReportEnd | CollectMobileNumber | Input Type | Output_Parameters:inputType | dtmf | 10000012781435731268
01/07/2015 11:52:38:713  INFO - In Progress | session id:mpp-2015182061428-10 | DM:ReportEnd | CollectMobileNumber | Value | Output_Parameters:value | 1234567890 | 10000012781435731268
01/07/2015 11:52:38:714  INFO - End | session id:mpp-2015182061428-10 | DM:ReportEnd | CollectMobileNumber |  |  |  | 10000012781435731268
01/07/2015 11:52:40:079  INFO - In Progress | session id:mpp-2015182061428-10 | DM:ReportEnd | ConfirmNumber | Return Code | Output_Parameters:returncode | SUCCESS | 10000012781435731268
01/07/2015 11:52:40:079  INFO - In Progress | session id:mpp-2015182061428-10 | DM:ReportEnd | ConfirmNumber | Input Type | Output_Parameters:inputType | dtmf | 10000012781435731268
01/07/2015 11:52:40:079  INFO - In Progress | session id:mpp-2015182061428-10 | DM:ReportEnd | ConfirmNumber | Value | Output_Parameters:value | Confirm | 10000012781435731268
01/07/2015 11:52:40:079  INFO - End | session id:mpp-2015182061428-10 | DM:ReportEnd | ConfirmNumber |  |  |  | 10000012781435731268
01/07/2015 11:52:41:857  INFO - In Progress | session id:mpp-2015182061428-10 | DM:ReportEnd | Prepaid_MN | Return Code | Output_Parameters:returncode | SUCCESS | 10000012781435731268
01/07/2015 11:52:41:858  INFO - In Progress | session id:mpp-2015182061428-10 | DM:ReportEnd | Prepaid_MN | Input Type | Output_Parameters:inputType | dtmf | 10000012781435731268
01/07/2015 11:52:41:858  INFO - In Progress | session id:mpp-2015182061428-10 | DM:ReportEnd | Prepaid_MN | Value | Output_Parameters:value | HOTDEAL | 10000012781435731268
01/07/2015 11:52:41:858  INFO - End | session id:mpp-2015182061428-10 | DM:ReportEnd | Prepaid_MN |  |  |  | 10000012781435731268
01/07/2015 11:53:30:908  INFO - In Progress | session id:mpp-2015182061428-10 | DM:ReportEnd | Prepaid_MN | Return Code | Output_Parameters:returncode | SUCCESS | 10000012781435731268
01/07/2015 11:53:30:912  INFO - In Progress | session id:mpp-2015182061428-10 | DM:ReportEnd | Prepaid_MN | Input Type | Output_Parameters:inputType | dtmf | 10000012781435731268
01/07/2015 11:53:30:912  INFO - In Progress | session id:mpp-2015182061428-10 | DM:ReportEnd | Prepaid_MN | Value | Output_Parameters:value | HOTDEAL | 10000012781435731268
01/07/2015 11:53:30:912  INFO - End | session id:mpp-2015182061428-10 | DM:ReportEnd | Prepaid_MN |  |  |  | 10000012781435731268
01/07/2015 11:55:00:022  INFO - In Progress | session id:mpp-2015182061428-10 | DM:ReportEnd | Prepaid_MN | Return Code | Output_Parameters:returncode | SUCCESS | 10000012781435731268
01/07/2015 11:55:00:024  INFO - In Progress | session id:mpp-2015182061428-10 | DM:ReportEnd | Prepaid_MN | Input Type | Output_Parameters:inputType | dtmf | 10000012781435731268
01/07/2015 11:55:00:024  INFO - In Progress | session id:mpp-2015182061428-10 | DM:ReportEnd | Prepaid_MN | Value | Output_Parameters:value | HOTDEAL | 10000012781435731268
01/07/2015 11:55:00:024  INFO - End | session id:mpp-2015182061428-10 | DM:ReportEnd | Prepaid_MN |  |  |  | 10000012781435731268
01/07/2015 11:55:44:703  INFO - In Progress | session id:mpp-2015182061428-10 | DM:ReportEnd | TransferAgent_PP | Return Code | Output_Parameters:returncode |  | 10000012781435731268
01/07/2015 11:55:44:703  INFO - End | session id:mpp-2015182061428-10 | DM:ReportEnd | TransferAgent_PP |  |  |  | 10000012781435731268
01/07/2015 11:55:56:177  INFO - In Progress | session id:mpp-2015182061804-9 | DM:ReportEnd | Welcome_PP | Return Code | Output_Parameters:returncode |  | 10000012841435731484
01/07/2015 11:55:56:177  INFO - End | session id:mpp-2015182061804-9 | DM:ReportEnd | Welcome_PP |  |  |  | 10000012841435731484
01/07/2015 11:56:02:328  INFO - In Progress | session id:mpp-2015182061804-9 | DM:ReportEnd | SelectLang_MN | Return Code | Output_Parameters:returncode | SUCCESS | 10000012841435731484
01/07/2015 11:56:02:328  INFO - In Progress | session id:mpp-2015182061804-9 | DM:ReportEnd | SelectLang_MN | Input Type | Output_Parameters:inputType | dtmf | 10000012841435731484
01/07/2015 11:56:02:328  INFO - In Progress | session id:mpp-2015182061804-9 | DM:ReportEnd | SelectLang_MN | Value | Output_Parameters:value | ENG | 10000012841435731484
01/07/2015 11:56:02:328  INFO - End | session id:mpp-2015182061804-9 | DM:ReportEnd | SelectLang_MN |  |  |  | 10000012841435731484
01/07/2015 11:56:04:283  INFO - In Progress | session id:mpp-2015182061804-9 | DM:ReportEnd | OldProspect_MN | Return Code | Output_Parameters:returncode | SUCCESS | 10000012841435731484
01/07/2015 11:56:04:283  INFO - In Progress | session id:mpp-2015182061804-9 | DM:ReportEnd | OldProspect_MN | Input Type | Output_Parameters:inputType | dtmf | 10000012841435731484
01/07/2015 11:56:04:283  INFO - In Progress | session id:mpp-2015182061804-9 | DM:ReportEnd | OldProspect_MN | Value | Output_Parameters:value | RelianceCustomer | 10000012841435731484
