08/06/2015 18:08:22:702  INFO - In Progress | session id:mpp-2015159123044-15 | DM:ReportEnd | Welcome_PP | Return Code | Output_Parameters:returncode |  | 10000004581433766644
08/06/2015 18:08:22:705  INFO - End | session id:mpp-2015159123044-15 | DM:ReportEnd | Welcome_PP |  |  |  | 10000004581433766644
08/06/2015 18:08:29:864  INFO - In Progress | session id:mpp-2015159123044-15 | DM:ReportEnd | LanguageSelection_MN | Return Code | Output_Parameters:returncode | SUCCESS | 10000004581433766644
08/06/2015 18:08:29:865  INFO - In Progress | session id:mpp-2015159123044-15 | DM:ReportEnd | LanguageSelection_MN | Input Type | Output_Parameters:inputType | dtmf | 10000004581433766644
08/06/2015 18:08:29:865  INFO - In Progress | session id:mpp-2015159123044-15 | DM:ReportEnd | LanguageSelection_MN | Value | Output_Parameters:value | Marathi | 10000004581433766644
08/06/2015 18:08:29:865  INFO - End | session id:mpp-2015159123044-15 | DM:ReportEnd | LanguageSelection_MN |  |  |  | 10000004581433766644
08/06/2015 18:09:02:699  INFO - In Progress | session id:mpp-2015159123044-15 | DM:ReportEnd | MainMenu_MN | Return Code | Output_Parameters:returncode | SUCCESS | 10000004581433766644
08/06/2015 18:09:02:699  INFO - In Progress | session id:mpp-2015159123044-15 | DM:ReportEnd | MainMenu_MN | Input Type | Output_Parameters:inputType | dtmf | 10000004581433766644
08/06/2015 18:09:02:699  INFO - In Progress | session id:mpp-2015159123044-15 | DM:ReportEnd | MainMenu_MN | Value | Output_Parameters:value | SmartCardNumber | 10000004581433766644
08/06/2015 18:09:02:699  INFO - End | session id:mpp-2015159123044-15 | DM:ReportEnd | MainMenu_MN |  |  |  | 10000004581433766644
08/06/2015 18:09:11:024  INFO - In Progress | session id:mpp-2015159123044-15 | DM:ReportEnd | SmartCardNumber_MN | Return Code | Output_Parameters:returncode | SUCCESS | 10000004581433766644
08/06/2015 18:09:11:024  INFO - In Progress | session id:mpp-2015159123044-15 | DM:ReportEnd | SmartCardNumber_MN | Input Type | Output_Parameters:inputType | dtmf | 10000004581433766644
08/06/2015 18:09:11:024  INFO - In Progress | session id:mpp-2015159123044-15 | DM:ReportEnd | SmartCardNumber_MN | Value | Output_Parameters:value | 123456123456 | 10000004581433766644
08/06/2015 18:09:11:024  INFO - End | session id:mpp-2015159123044-15 | DM:ReportEnd | SmartCardNumber_MN |  |  |  | 10000004581433766644
08/06/2015 18:09:12:124  INFO - In Progress | session id:mpp-2015159123044-15 | DM:ReportEnd | ConfirmSmartCardNumber_MN | Return Code | Output_Parameters:returncode | SUCCESS | 10000004581433766644
08/06/2015 18:09:12:124  INFO - In Progress | session id:mpp-2015159123044-15 | DM:ReportEnd | ConfirmSmartCardNumber_MN | Input Type | Output_Parameters:inputType | dtmf | 10000004581433766644
08/06/2015 18:09:12:124  INFO - In Progress | session id:mpp-2015159123044-15 | DM:ReportEnd | ConfirmSmartCardNumber_MN | Value | Output_Parameters:value | Confirm | 10000004581433766644
08/06/2015 18:09:12:124  INFO - End | session id:mpp-2015159123044-15 | DM:ReportEnd | ConfirmSmartCardNumber_MN |  |  |  | 10000004581433766644
08/06/2015 18:09:21:653  INFO - In Progress | session id:mpp-2015159123044-15 | DM:ReportEnd | GetCashCardNo_MN | Return Code | Output_Parameters:returncode | SUCCESS | 10000004581433766644
08/06/2015 18:09:21:653  INFO - In Progress | session id:mpp-2015159123044-15 | DM:ReportEnd | GetCashCardNo_MN | Input Type | Output_Parameters:inputType | dtmf | 10000004581433766644
