05/06/2015 14:48:43:242  INFO - In Progress | session id:mpp-2015156091106-1 | DM:ReportEnd | WelcomeAnnc | Return Code | Output_Parameters:returncode |  | 10000004361433495466
05/06/2015 14:48:43:242  INFO - End | session id:mpp-2015156091106-1 | DM:ReportEnd | WelcomeAnnc |  |  |  | 10000004361433495466
05/06/2015 14:48:49:240  INFO - In Progress | session id:mpp-2015156091106-1 | DM:ReportEnd | NonRTN_MN | Return Code | Output_Parameters:returncode | SUCCESS | 10000004361433495466
05/06/2015 14:48:49:240  INFO - In Progress | session id:mpp-2015156091106-1 | DM:ReportEnd | NonRTN_MN | Input Type | Output_Parameters:inputType | dtmf | 10000004361433495466
05/06/2015 14:48:49:240  INFO - In Progress | session id:mpp-2015156091106-1 | DM:ReportEnd | NonRTN_MN | Value | Output_Parameters:value | ExistingCustomer | 10000004361433495466
05/06/2015 14:48:49:240  INFO - End | session id:mpp-2015156091106-1 | DM:ReportEnd | NonRTN_MN |  |  |  | 10000004361433495466
05/06/2015 14:48:55:980  INFO - In Progress | session id:mpp-2015156091106-1 | DM:ReportEnd | Get_SCN | Return Code | Output_Parameters:returncode | SUCCESS | 10000004361433495466
05/06/2015 14:48:55:980  INFO - In Progress | session id:mpp-2015156091106-1 | DM:ReportEnd | Get_SCN | Input Type | Output_Parameters:inputType | dtmf | 10000004361433495466
05/06/2015 14:48:55:980  INFO - In Progress | session id:mpp-2015156091106-1 | DM:ReportEnd | Get_SCN | Value | Output_Parameters:value | 123123123123 | 10000004361433495466
05/06/2015 14:48:55:980  INFO - End | session id:mpp-2015156091106-1 | DM:ReportEnd | Get_SCN |  |  |  | 10000004361433495466
05/06/2015 14:48:57:946  INFO - In Progress | session id:mpp-2015156091106-1 | DM:ReportEnd | Confirm_SCN | Return Code | Output_Parameters:returncode | SUCCESS | 10000004361433495466
05/06/2015 14:48:57:946  INFO - In Progress | session id:mpp-2015156091106-1 | DM:ReportEnd | Confirm_SCN | Input Type | Output_Parameters:inputType | dtmf | 10000004361433495466
05/06/2015 14:48:57:946  INFO - In Progress | session id:mpp-2015156091106-1 | DM:ReportEnd | Confirm_SCN | Value | Output_Parameters:value | Continue | 10000004361433495466
05/06/2015 14:48:57:946  INFO - End | session id:mpp-2015156091106-1 | DM:ReportEnd | Confirm_SCN |  |  |  | 10000004361433495466
05/06/2015 14:49:00:599  INFO - In Progress | session id:mpp-2015156091106-1 | DM:ReportEnd | ActiveSCN_MainMNNonRTN | Return Code | Output_Parameters:returncode | SUCCESS | 10000004361433495466
05/06/2015 14:49:00:599  INFO - In Progress | session id:mpp-2015156091106-1 | DM:ReportEnd | ActiveSCN_MainMNNonRTN | Input Type | Output_Parameters:inputType | dtmf | 10000004361433495466
05/06/2015 14:49:00:599  INFO - In Progress | session id:mpp-2015156091106-1 | DM:ReportEnd | ActiveSCN_MainMNNonRTN | Value | Output_Parameters:value | AccountInfo | 10000004361433495466
05/06/2015 14:49:00:599  INFO - End | session id:mpp-2015156091106-1 | DM:ReportEnd | ActiveSCN_MainMNNonRTN |  |  |  | 10000004361433495466
05/06/2015 14:49:02:820  INFO - In Progress | session id:mpp-2015156091106-1 | DM:ReportEnd | AccountMain_MN | Return Code | Output_Parameters:returncode | SUCCESS | 10000004361433495466
