29/09/2015 11:21:08:708  INFO - In Progress | session id:mpp-2015272053938-4 | DM:ReportEnd | Welcome_PP | Return Code | Output_Parameters:returncode |  | 10000001971443505178
29/09/2015 11:21:08:708  INFO - End | session id:mpp-2015272053938-4 | DM:ReportEnd | Welcome_PP |  |  |  | 10000001971443505178
29/09/2015 11:21:16:954  INFO - In Progress | session id:mpp-2015272053938-4 | DM:ReportEnd | SelectLang_MN | Return Code | Output_Parameters:returncode | SUCCESS | 10000001971443505178
29/09/2015 11:21:16:954  INFO - In Progress | session id:mpp-2015272053938-4 | DM:ReportEnd | SelectLang_MN | Input Type | Output_Parameters:inputType | dtmf | 10000001971443505178
29/09/2015 11:21:16:954  INFO - In Progress | session id:mpp-2015272053938-4 | DM:ReportEnd | SelectLang_MN | Value | Output_Parameters:value | TAM | 10000001971443505178
29/09/2015 11:21:16:954  INFO - End | session id:mpp-2015272053938-4 | DM:ReportEnd | SelectLang_MN |  |  |  | 10000001971443505178
29/09/2015 11:21:19:997  INFO - In Progress | session id:mpp-2015272053938-4 | DM:ReportEnd | MainMenu | Return Code | Output_Parameters:returncode | SUCCESS | 10000001971443505178
29/09/2015 11:21:19:997  INFO - In Progress | session id:mpp-2015272053938-4 | DM:ReportEnd | MainMenu | Input Type | Output_Parameters:inputType | dtmf | 10000001971443505178
29/09/2015 11:21:19:997  INFO - In Progress | session id:mpp-2015272053938-4 | DM:ReportEnd | MainMenu | Value | Output_Parameters:value | Prepaid | 10000001971443505178
29/09/2015 11:21:19:997  INFO - End | session id:mpp-2015272053938-4 | DM:ReportEnd | MainMenu |  |  |  | 10000001971443505178
29/09/2015 11:21:22:245  INFO - In Progress | session id:mpp-2015272053938-4 | DM:ReportEnd | Prepaid_MN | Return Code | Output_Parameters:returncode | SUCCESS | 10000001971443505178
29/09/2015 11:21:22:245  INFO - In Progress | session id:mpp-2015272053938-4 | DM:ReportEnd | Prepaid_MN | Input Type | Output_Parameters:inputType | dtmf | 10000001971443505178
29/09/2015 11:21:22:245  INFO - In Progress | session id:mpp-2015272053938-4 | DM:ReportEnd | Prepaid_MN | Value | Output_Parameters:value | MobileNum | 10000001971443505178
29/09/2015 11:21:22:245  INFO - End | session id:mpp-2015272053938-4 | DM:ReportEnd | Prepaid_MN |  |  |  | 10000001971443505178
29/09/2015 11:21:22:385  INFO - In Progress | session id:mpp-2015272053938-4 | DM:ReportEnd | Transaction_PP | Return Code | Output_Parameters:returncode |  | 10000001971443505178
29/09/2015 11:21:22:385  INFO - End | session id:mpp-2015272053938-4 | DM:ReportEnd | Transaction_PP |  |  |  | 10000001971443505178
29/09/2015 11:21:43:915  INFO - In Progress | session id:mpp-2015272053938-4 | DM:ReportEnd | MobileNumber_MN | Return Code | Output_Parameters:returncode | SUCCESS | 10000001971443505178
